timestamp_utc,send_method,cu_limit,cu_price_micro_lamports,priority_fee_lamports,fee_cap_lamports,recent_fee_min,recent_fee_median,recent_fee_p90,recent_fee_max,recent_tps,recent_slots_per_second,message_size_bytes,instruction_count,account_count,writable_account_count,landed_within_1_slots,landed_within_2_slots,landed_within_3_slots,latency_ms,slot_delta,confirmation_status,rpc_status_has_error,signature,sent_slot,landed_slot
2026-04-15T19:00:03.242432+00:00,rpc,160000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,1311.9999999999834,2.0,confirmed,0,5zH73hqRH6TQ3UrhSSBYxGNqHwCuXNbn1BLfcnea3RDmYDBhEm7JVVD2iReEUKmSoRAZvaoFoBcrmYHKzupTuRza,413442146,413442148.0
2026-04-15T19:00:06.460622+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,3875.0,10.0,confirmed,0,5GFgfJK5q8Jb4H5bs1SxeCKpyqF12fxZD35BuzkTZY5GiWXbR3FP33HBb5oUBZ6XXRSNTiqmYcMFpwWvAbN6DpEn,413442154,413442164.0
2026-04-15T19:00:12.223815+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,2156.000000000006,5.0,processed,0,5kfu3uVKV7rH67jVYmFbKWY4hziSmYhsseJE6qSKxmfdYndYBcvM1WqQs7kwDo2CoTi6tGqRNcR2N4fKq5eUY1iV,413442169,413442174.0
2026-04-15T19:00:16.250923+00:00,rpc,160000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,2186.9999999999836,5.0,confirmed,0,2JmeqmyrxeYawfAGM9jkgdWoCWrd9X4ZHNgpnrrnJ7NvkcG7qK3TP9iiLoZAQWedr4xrqQauaC4bKqMPY1SFYUdw,413442179,413442184.0
2026-04-15T19:00:20.305107+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,0,2139.9999999999864,5.0,confirmed,0,4KvrEZNZQppFUdvGmzhuxuagQ9VynPy6m9EmXtAezcLYV3HqnFTMUJRTXcNKnkrxLVNdqXJVf63RpumHymEHPFGM,413442189,413442194.0
2026-04-15T19:00:24.350187+00:00,rpc,160000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,1,1592.9999999999893,3.0,confirmed,0,3JpXfMFYHHEUBu5awj3CsKx2SuXto8Qop8aeGWLrC5e7uSBz7pnidiXeowfYV3pv69CvqgCukbgQuFdfCruDMGX1,413442200,413442203.0
2026-04-15T19:00:27.841968+00:00,rpc,160000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,1421.999999999997,2.0,confirmed,0,5eQVDFJVFKbJfgw3AhL2ZDHWVXtZPEss7wAoKZZwb56qmzrdN2xALQBQzw7nnbLmRBueWb6yj3CMLEf5ty1sCxzC,413442210,413442212.0
2026-04-15T19:00:31.129090+00:00,rpc,300000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,1360.0000000000136,2.0,confirmed,0,5SrB7GsBHxifzFUvFZLdbJarYc62DHCrvjRpsE8WFXKLikdaxvx9YdHxdectuD725Mq3WEnodZSbQhqm61HixWZ6,413442219,413442221.0
2026-04-15T19:00:34.435213+00:00,rpc,200000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,1,1,485.00000000001364,2.0,processed,0,3yLjJttwMKGZCsKLKbuUzZPCCqSGDqvUxEKUDVStv5LFY9KSTco6BEpjXVX9odXq2CaGUX2zCce6pR9HUVHfFaZP,413442227,413442229.0
2026-04-15T19:00:36.836902+00:00,rpc,250000,1,1,5,0.0,0.0,0.0,0.0,3221.713333333333,2.5225,237,3,3,1,0,0,1,1328.000000000003,3.0,confirmed,0,4TipSbtFhggvDQBVGdGPo1MHzKdYxHoRMbNyhW58HpCZo1aa1v4V3UxeJVf4ssUE8bVjXdcJ6fbnsNdXVkDp6LZi,413442232,413442235.0
